Agency Name,Report Number,Report Date,Log Date,Crime Type,Crime Start,Crime End,Disposition,Building,Address,Latitude,Longitude,Year,Month,Month_Name,Day_of_Week
UFPD,220277,2022-03-17 12:38:00,2022-03-21,Larceny/Bicycle,,,Pending,Maguire Village,"1255 BLUE CIR, GAINESVILLE",29.6406487,-82.37164748,2022,3,March,Thursday
UFPD,220196,2022-02-24 11:59:00,2022-02-25,Larceny/Bicycle,,,Sworn Complaint,,3150 Hull Rd,29.63842305,-82.36832487,2022,2,February,Thursday
UFPD,220181,2022-02-21 13:01:00,2022-02-22,Larceny/Bicycle,,,Pending,Marston Library,444 Newell Dr,29.64798985,-82.3439469,2022,2,February,Monday
UFPD,220155,2022-02-15 15:10:00,2022-02-16,Larceny/Bicycle,,,Pending,"Health Professions, Nursing and Pharmacy",1225 Center Dr,29.6416682,-82.34524251,2022,2,February,Tuesday
UFPD,220147,2022-02-14 09:33:00,2022-02-15,Larceny/Bicycle,,,*All Leads Exhausted,,"3150 HULL RD, GAINESVILLE",29.63842305,-82.36832487,2022,2,February,Monday
UFPD,220111,2022-02-04 08:35:00,2022-02-07,Larceny/Bicycle,,,Pending,Maguire Village,1274 Orange Dr,29.6407762,-82.3701436,2022,2,February,Friday
UFPD,220111,2022-02-04 08:35:00,2022-02-14,Larceny/Bicycle,,,*All Leads Exhausted,Maguire Village,1274 Orange Dr,29.6407762,-82.3701436,2022,2,February,Friday
UFPD,220089,2022-01-28 10:47:00,2022-01-31,Larceny/Bicycle,,,Pending,Maguire Village,1318 Orange Dr,29.6402216,-82.37031091,2022,1,January,Friday
UFPD,220089,2022-01-28 10:47:00,2022-02-04,Larceny/Bicycle,,,*All Leads Exhausted,Maguire Village,1318 Orange Dr,29.6402216,-82.37031091,2022,1,January,Friday
UFPD,220070,2022-01-24 15:21:00,2022-01-26,Larceny/Bicycle,,,Pending,,80 Newell DR,29.65141865,-82.34406064,2022,1,January,Monday
UFPD,220070,2022-01-24 15:21:00,2022-01-31,Larceny/Bicycle,,,*All Leads Exhausted,,80 Newell DR,29.65141865,-82.34406064,2022,1,January,Monday
UFPD,220023,2022-01-10 09:59:00,2022-01-11,Larceny/Bicycle,,,Pending,Springs Residential Complex,404 Fraternity Dr,29.64899755,-82.35637701,2022,1,January,Monday
UFPD,220023,2022-01-10 09:59:00,2022-01-11,Larceny/Bicycle,,,*Unfounded,Springs Residential Complex,404 Fraternity Dr,29.64899755,-82.35637701,2022,1,January,Monday
UFPD,220021,2022-01-08 10:51:00,2022-01-10,Larceny/Bicycle,,,Pending,Jennings Hall,"1509 MUSEUM RD, GAINESVILLE",29.6443588,-82.3417443,2022,1,January,Saturday
UFPD,211322,2021-12-17 12:46:00,2021-12-20,Larceny/Bicycle,,,Pending,,528 Gale Lemerand Dr,29.64731295,-82.35021458,2021,12,December,Friday
UFPD,211322,2021-12-17 12:46:00,2022-02-14,Larceny/Bicycle,,,*All Leads Exhausted,,528 Gale Lemerand Dr,29.64731295,-82.35021458,2021,12,December,Friday
UFPD,211303,2021-12-11 18:01:00,2021-12-13,Larceny/Bicycle,,,Pending,Diamond Village,1394 Diamond Rd,29.643217,-82.34128627,2021,12,December,Saturday
UFPD,211301,2021-12-11 13:01:00,2021-12-13,Larceny/Bicycle,,,Pending,,132 Buckman Dr,29.6507943,-82.3450037,2021,12,December,Saturday
UFPD,211301,2021-12-11 13:01:00,2022-01-03,Larceny/Bicycle,,,*All Leads Exhausted,,132 Buckman Dr,29.6507943,-82.3450037,2021,12,December,Saturday
UFPD,211278,2021-12-04 20:35:00,2021-12-06,Larceny/Bicycle,,,Pending,,100 Fletcher Dr,29.651947,-82.3462902,2021,12,December,Saturday
UFPD,211255,2021-12-01 10:10:00,2021-12-02,Larceny/Bicycle,,,Pending,,1387 Museum Rd,29.64437545,-82.3405974,2021,12,December,Wednesday
UFPD,211244,2021-11-28 23:02:00,2021-11-30,Larceny/Bicycle,,,Pending,,2191 Stadium Rd,29.6477298,-82.35338204,2021,11,November,Sunday
UFPD,211206,2021-11-18 13:25:00,2021-11-19,Larceny/Bicycle,,,Pending,,1358 Museum Rd,29.644944653061224,-82.33969949,2021,11,November,Thursday
UFPD,211206,2021-11-18 13:25:00,2021-11-24,Larceny/Bicycle,,,*All Leads Exhausted,,1358 Museum Rd,29.644944653061224,-82.33969949,2021,11,November,Thursday
UFPD,211193,2021-11-15 16:08:00,2021-11-16,Larceny/Bicycle,,,Pending,,133 Fletcher Dr,29.6512903,-82.34600255,2021,11,November,Monday
UFPD,211192,2021-11-15 14:31:00,2021-11-16,Larceny/Bicycle,,,Pending,,2129 Museum Rd,29.64455065,-82.3524818,2021,11,November,Monday
UFPD,211192,2021-11-15 14:31:00,2021-11-19,Larceny/Bicycle,,,*All Leads Exhausted,,2129 Museum Rd,29.64455065,-82.3524818,2021,11,November,Monday
UFPD,211165,2021-11-09 11:23:00,2021-11-10,Larceny/Bicycle,,,Pending,,1745 McCarty Dr,29.6454145,-82.3457288,2021,11,November,Tuesday
