"Agency Name","Report Number","Report Date","Log Date","Crime Type","Crime Start","Crime End","Disposition","Building","Address","Latitude","Longitude"
"UFPD","220277","2022-03-17 12:38:00","2022-03-21","Larceny/Bicycle","","","Pending","Maguire Village","1255 BLUE CIR, GAINESVILLE","29.6406487","-82.37164748"
"UFPD","220196","2022-02-24 11:59:00","2022-02-25","Larceny/Bicycle","","","Sworn Complaint","","3150 Hull Rd","29.63842305","-82.36832487"
"UFPD","220181","2022-02-21 13:01:00","2022-02-22","Larceny/Bicycle","","","Pending","Marston Library","444 Newell Dr","29.647989850000002","-82.3439469"
"UFPD","220155","2022-02-15 15:10:00","2022-02-16","Larceny/Bicycle","","","Pending","Health Professions, Nursing and Pharmacy","1225 Center Dr","29.641668199999998","-82.34524251"
"UFPD","220147","2022-02-14 09:33:00","2022-02-15","Larceny/Bicycle","","","*All Leads Exhausted","","3150 HULL RD, GAINESVILLE","29.63842305","-82.36832487"
"UFPD","220111","2022-02-04 08:35:00","2022-02-07","Larceny/Bicycle","","","Pending","Maguire Village","1274 Orange Dr","29.640776199999998","-82.3701436"
"UFPD","220111","2022-02-04 08:35:00","2022-02-14","Larceny/Bicycle","","","*All Leads Exhausted","Maguire Village","1274 Orange Dr","29.640776199999998","-82.3701436"
"UFPD","220089","2022-01-28 10:47:00","2022-01-31","Larceny/Bicycle","","","Pending","Maguire Village","1318 Orange Dr","29.6402216","-82.37031091"
"UFPD","220089","2022-01-28 10:47:00","2022-02-04","Larceny/Bicycle","","","*All Leads Exhausted","Maguire Village","1318 Orange Dr","29.6402216","-82.37031091"
"UFPD","220070","2022-01-24 15:21:00","2022-01-26","Larceny/Bicycle","","","Pending","","80 Newell DR","29.65141865","-82.34406064"
"UFPD","220070","2022-01-24 15:21:00","2022-01-31","Larceny/Bicycle","","","*All Leads Exhausted","","80 Newell DR","29.65141865","-82.34406064"
"UFPD","220023","2022-01-10 09:59:00","2022-01-11","Larceny/Bicycle","","","Pending","Springs Residential Complex","404 Fraternity Dr","29.648997549999997","-82.35637701"
"UFPD","220023","2022-01-10 09:59:00","2022-01-11","Larceny/Bicycle","","","*Unfounded","Springs Residential Complex","404 Fraternity Dr","29.648997549999997","-82.35637701"
"UFPD","220021","2022-01-08 10:51:00","2022-01-10","Larceny/Bicycle","","","Pending","Jennings Hall","1509 MUSEUM RD, GAINESVILLE","29.6443588","-82.3417443"
"UFPD","211322","2021-12-17 12:46:00","2021-12-20","Larceny/Bicycle","","","Pending","","528 Gale Lemerand Dr","29.64731295","-82.35021458"
